2006-01-02,3.26
2006-01-03,3.25
2006-01-04,3.19
2006-01-05,3.14
2006-01-06,3.15
2006-01-09,3.12
2006-01-10,3.13
2006-01-11,3.14
2006-01-12,3.12
2006-01-13,3.15
2006-01-16,3.13
2006-01-17,3.15
2006-01-18,3.19
2006-01-19,3.18
2006-01-20,3.19
2006-01-23,3.14
2006-01-24,3.13
2006-01-25,3.10
2006-01-26,3.13
2006-01-27,3.14
2006-01-30,3.16
2006-01-31,3.16
2006-02-01,3.14
2006-02-02,3.17
2006-02-03,3.17
2006-02-06,3.18
2006-02-07,3.18
2006-02-08,3.19
2006-02-09,3.19
2006-02-10,3.16
2006-02-13,3.19
2006-02-14,3.19
2006-02-15,3.18
2006-02-16,3.17
2006-02-17,3.17
2006-02-20,3.15
2006-02-21,3.17
2006-02-22,3.20
2006-02-23,3.17
2006-02-24,3.18
2006-02-27,3.18
2006-02-28,3.18
2006-03-01,3.16
2006-03-02,3.16
2006-03-03,3.17
2006-03-06,3.17
2006-03-07,3.23
2006-03-08,3.25
2006-03-09,3.25
2006-03-10,3.26
2006-03-13,3.27
2006-03-14,3.29
2006-03-15,3.23
2006-03-16,3.21
2006-03-17,3.15
2006-03-20,3.19
2006-03-21,3.21
2006-03-22,3.25
2006-03-23,3.23
2006-03-24,3.26
2006-03-27,3.23
2006-03-28,3.27
2006-03-29,3.30
2006-03-30,3.26
2006-03-31,3.25
2006-04-03,3.25
2006-04-04,3.24
2006-04-05,3.24
2006-04-06,3.24
2006-04-07,3.25
2006-04-10,3.27
2006-04-11,3.26
2006-04-12,3.23
2006-04-13,3.25
2006-04-14,3.25
2006-04-18,3.21
2006-04-19,3.16
2006-04-20,3.15
2006-04-21,3.15
2006-04-24,3.12
2006-04-25,3.12
2006-04-26,3.13
2006-04-27,3.11
2006-04-28,3.08
2006-05-02,3.06
2006-05-04,3.04
2006-05-05,3.01
2006-05-08,2.99
2006-05-09,3.02
2006-05-10,3.01
2006-05-11,3.01
2006-05-12,3.00
2006-05-15,3.06
2006-05-16,3.06
2006-05-17,3.00
2006-05-18,3.09
2006-05-19,3.08
