2007-01-30,62.97
2007-01-29,62.94
2007-01-31,63.04
2007-02-27,65.21
2007-02-26,65.05
2007-02-28,64.39
2007-03-30,61.78
2007-03-29,62.53
2007-04-30,60.48
2007-05-30,60.17
2007-05-29,59.56
2007-05-31,59.72
2007-06-29,58.42
2007-06-28,58.5
2007-07-30,59.2
2007-07-31,59.21
2007-08-30,60.47
2007-08-29,60.13
2007-08-31,60.1
2007-09-28,62.89
2007-10-30,63.74
2007-10-29,63.19
2007-10-31,63.55
2007-11-29,64.07
2007-11-28,64.85
2007-11-30,63.13
2007-12-31,65.86
2008-01-30,72.82
2008-01-29,73.11
2008-01-31,72.41
2008-02-28,72.52
2006-01-30,56.67
2006-01-31,57.34
2006-02-27,56.68
2006-02-28,56.58
2006-03-30,59.98
2006-03-29,59.64
2006-03-31,61.24
2006-04-28,63.76
2006-05-30,63.49
2006-05-29,63.28
2006-05-31,65.05
2006-06-29,60.85
2006-06-28,61.16
2006-06-30,61.76
2006-07-31,63.38
2006-08-30,60.78
2006-08-29,61.38
2006-08-31,61.14
2006-09-29,60.72
2006-09-28,59.78
2006-10-30,58.65
2006-10-31,59.84
2006-11-29,59.75
2006-11-28,59.93
2006-11-30,59.52
2006-12-29,59.32
2007-01-30,62.97
2007-01-29,62.94
2007-01-31,63.04
2007-02-27,65.21
2007-02-26,65.05
2007-02-28,64.39
2007-03-30,61.78
2007-03-29,62.53
2007-04-30,60.48
2007-05-30,60.17
2007-05-29,59.56
2007-05-31,59.72
2007-06-29,58.42
2007-06-28,58.5
2007-07-30,59.2
2007-07-31,59.21
2007-08-30,60.47
2007-08-29,60.13
2007-08-31,60.1
2007-09-28,62.89
2007-10-30,63.74
2007-10-29,63.19
2007-10-31,63.55
2007-11-29,64.07
2007-11-28,64.85
2007-11-30,63.13
2007-12-31,65.86
2008-01-30,72.82
2008-01-29,73.11
2008-01-31,72.41
2008-02-28,72.52
2008-02-27,71.66
2008-02-29,71.97
2008-03-31,67.18
2008-04-29,62.99
2008-04-28,63.18
2008-04-30,62.56
2008-05-30,61.69
2008-05-29,62.71
2008-06-30,63.16
2008-07-30,60.4
2008-07-29,60.57
2008-07-31,59.28
2008-08-29,61.14
2008-09-29,66.66
2008-09-30,68.8
2008-10-30,69.88
2008-10-29,69.8
2008-10-31,66.28
2008-11-28,76.02
2008-12-30,82.9
2008-12-29,78.85
2008-12-31,81.29
2009-01-30,96.55
2009-01-29,94.95
2009-02-27,111.01
2009-02-26,114.24
2009-03-30,101.17
2009-03-31,106.76
2009-04-29,100.58
2009-04-28,100.54
2009-04-30,97.27
2009-05-29,99.82
2009-06-29,97.26
2009-06-30,96.51
2009-07-30,88.69
2009-07-29,88.76
2009-07-31,89.15
2009-08-31,87.43
2009-09-29,92.15
2009-09-28,91.44
2009-09-30,91.58
2009-10-30,96.49
2009-10-29,95.46
2009-11-30,105.19
2009-12-30,102.38
2009-12-29,102.66
2009-12-31,100.42
2010-01-29,101.29
2010-02-26,104.17
2010-03-30,102.78
2010-03-29,102.44
2010-03-31,102.31
2010-04-29,112.13
2010-04-28,107.77
2010-04-30,111
2010-05-31,126.34
2010-06-29,134.88
2010-06-28,135.65
2010-06-30,135.57
2010-07-30,114.45
2010-07-29,114.41
2010-08-30,124.31
2010-08-31,124
2010-09-29,123.32
2010-09-28,122.7
2010-09-30,122.87
2010-10-29,123.16
2010-11-29,132.26
2010-11-30,132.81
2010-12-30,137.97
2010-12-29,133.64
2010-12-31,135.48
2011-01-31,120.87
2011-02-28,129.72
2011-03-30,128.63
2011-03-29,129.53
2011-03-31,129.59
2011-04-29,130.85
2011-04-28,130.38
2011-05-30,138.03
2011-05-31,137.08
2011-06-29,135.2
2011-06-28,135.82
2011-06-30,134.81
2011-07-29,144.64
2011-08-30,164.75
2011-08-29,165.78
2011-08-31,168.73
2011-09-29,171.47
2011-09-28,173.69
2011-09-30,168.29
2011-10-31,170.52
2011-11-29,185.75
2011-11-28,184.59
2011-11-30,187.26
2011-12-30,167.97
2011-12-29,169.75
2012-01-30,178.47
2012-01-31,180.3
2012-02-28,177.61
2012-02-27,177.75
2012-02-29,177.37
2012-03-30,166.45
2012-03-29,167.6
2012-04-30,169.35
2012-05-30,176.08
2012-05-29,174.85
2012-05-31,173.97
2012-06-29,172.42
2012-06-28,172.08
2012-07-30,176.09
2012-07-31,175.69
2012-08-30,176.55
2012-08-29,175.29
2012-08-31,178.31
2012-09-28,182.71
2012-10-30,176.41
2012-10-29,177.2
2012-10-31,176.13
2012-11-29,174.61
2012-11-28,177.59
2012-11-30,175.01
2012-12-31,164.63
